시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
신창시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,도봉구,2024,11,음료
신창시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,도봉구,2024,11,음료
신창시장,76.0,맥주 500ml 1캔,,3200.0,2024-11,,전통시장,도봉구,2024,11,음료
신창시장,79.0,사이다 1.5L 1병,,2800.0,2024-11,,전통시장,도봉구,2024,11,음료
신림중앙시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,관악구,2024,11,음료
신림중앙시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,관악구,2024,11,음료
신림중앙시장,76.0,맥주 500ml 1캔,,2850.0,2024-11,,전통시장,관악구,2024,11,음료
신림중앙시장,79.0,사이다 1.5L 1병,,2850.0,2024-11,,전통시장,관악구,2024,11,음료
관악중부시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,관악구,2024,11,음료
관악중부시장,75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,관악구,2024,11,음료
관악중부시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,관악구,2024,11,음료
관악중부시장,79.0,사이다 1.5L 1병,,3200.0,2024-11,,전통시장,관악구,2024,11,음료
수유재래시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강북구,2024,11,음료
수유재래시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,강북구,2024,11,음료
수유재래시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강북구,2024,11,음료
수유재래시장,79.0,사이다 1.5L 1병,,2750.0,2024-11,,전통시장,강북구,2024,11,음료
,55.0,사이다 1.5L 1병,,8980.0,2024-11,,전통시장,서초구,2024,11,음료
,8.0,생수 500ml 1병,,600.0,2024-11,,전통시장,서초구,2024,11,음료
,66.0,"소주 360ml, 1병",,5480.0,2024-11,,전통시장,서초구,2024,11,음료
돈암제일시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,성북구,2024,11,음료
돈암제일시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,성북구,2024,11,음료
돈암제일시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,성북구,2024,11,음료
돈암제일시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,성북구,2024,11,음료
정릉시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,성북구,2024,11,음료
정릉시장,75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,성북구,2024,11,음료
정릉시장,76.0,맥주 500ml 1캔,,2150.0,2024-11,,전통시장,성북구,2024,11,음료
정릉시장,79.0,사이다 1.5L 1병,,2500.0,2024-11,,전통시장,성북구,2024,11,음료
가리봉시장,77.0,생수 500ml 1병,,800.0,2024-11,,전통시장,구로구,2024,11,음료
가리봉시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,구로구,2024,11,음료
가리봉시장,76.0,맥주 500ml 1캔,,2801.0,2024-11,464ml 2600,전통시장,구로구,2024,11,음료
가리봉시장,79.0,사이다 1.5L 1병,,3150.0,2024-11,,전통시장,구로구,2024,11,음료
돌곶이시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,성북구,2024,11,음료
돌곶이시장,75.0,"소주 360ml, 1병",,1410.0,2024-11,,전통시장,성북구,2024,11,음료
돌곶이시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,성북구,2024,11,음료
돌곶이시장,79.0,사이다 1.5L 1병,,3100.0,2024-11,,전통시장,성북구,2024,11,음료
대조시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,은평구,2024,11,음료
대조시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,은평구,2024,11,음료
대조시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,은평구,2024,11,음료
대조시장,79.0,사이다 1.5L 1병,,2850.0,2024-11,,전통시장,은평구,2024,11,음료
중곡제일골목시장,80.0,생수 500ml 1병,,8900.0,2024-11,,전통시장,광진구,2024,11,음료
남부골목시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강서구,2024,11,음료
남부골목시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,강서구,2024,11,음료
남부골목시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강서구,2024,11,음료
남부골목시장,79.0,사이다 1.5L 1병,,2380.0,2024-11,,전통시장,강서구,2024,11,음료
은행나무시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,금천구,2024,11,음료
은행나무시장,75.0,"소주 360ml, 1병",,1490.0,2024-11,,전통시장,금천구,2024,11,음료
은행나무시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,금천구,2024,11,음료
남성시장,77.0,생수 500ml 1병,,950.0,2024-11,,전통시장,동작구,2024,11,음료
남성시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,동작구,2024,11,음료
남성시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,동작구,2024,11,음료
남성시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,동작구,2024,11,음료
만리시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,용산구,2024,11,음료
만리시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,용산구,2024,11,음료
만리시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,용산구,2024,11,음료
만리시장,79.0,사이다 1.5L 1병,,2700.0,2024-11,,전통시장,용산구,2024,11,음료
답십리시장,77.0,생수 500ml 1병,,550.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리시장,76.0,맥주 500ml 1캔,,2480.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,동대문구,2024,11,음료
행당시장상점가,77.0,생수 500ml 1병,,700.0,2024-11,,전통시장,성동구,2024,11,음료
행당시장상점가,75.0,"소주 360ml, 1병",,1590.0,2024-11,,전통시장,성동구,2024,11,음료
행당시장상점가,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,성동구,2024,11,음료
행당시장상점가,79.0,사이다 1.5L 1병,,3200.0,2024-11,,전통시장,성동구,2024,11,음료
이촌종합시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,용산구,2024,11,음료
이촌종합시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,용산구,2024,11,음료
이촌종합시장,76.0,맥주 500ml 1캔,,2500.0,2024-11,,전통시장,용산구,2024,11,음료
광장시장,77.0,생수 500ml 1병,,1000.0,2024-11,,전통시장,종로구,2024,11,음료
이촌종합시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,용산구,2024,11,음료
화곡본동시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강서구,2024,11,음료
화곡본동시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,강서구,2024,11,음료
광장시장,75.0,"소주 360ml, 1병",,1800.0,2024-11,,전통시장,종로구,2024,11,음료
화곡본동시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강서구,2024,11,음료
성대전통시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,동작구,2024,11,음료
성대전통시장,75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,동작구,2024,11,음료
성대전통시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,동작구,2024,11,음료
성대전통시장,79.0,사이다 1.5L 1병,,1950.0,2024-11,,전통시장,동작구,2024,11,음료
광장시장,76.0,맥주 500ml 1캔,,2000.0,2024-11,,전통시장,종로구,2024,11,음료
화곡본동시장,79.0,사이다 1.5L 1병,,2900.0,2024-11,,전통시장,강서구,2024,11,음료
길동복조리시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강동구,2024,11,음료
길동복조리시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,강동구,2024,11,음료
길동복조리시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강동구,2024,11,음료
길동복조리시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,강동구,2024,11,음료
광장시장,79.0,사이다 1.5L 1병,,2500.0,2024-11,,전통시장,종로구,2024,11,음료
인헌시장,77.0,생수 500ml 1병,,800.0,2024-11,,전통시장,관악구,2024,11,음료
인헌시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,관악구,2024,11,음료
인헌시장,76.0,맥주 500ml 1캔,,2250.0,2024-11,,전통시장,관악구,2024,11,음료
인헌시장,79.0,사이다 1.5L 1병,,2800.0,2024-11,,전통시장,관악구,2024,11,음료
아현시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,마포구,2024,11,음료
아현시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,마포구,2024,11,음료
아현시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,마포구,2024,11,음료
아현시장,79.0,사이다 1.5L 1병,,3150.0,2024-11,,전통시장,마포구,2024,11,음료
