Title,Price,Unit Price
SMOKE DELI 훈제오리 500g,12980,(10g당 260원)
마늘치킨훈제슬라이스400g,5980,(10g당 150원)
CJ 햄스빌베이컨 110g x 3,9980,(10g당 302원)
(2번)동물복지 1등급 유정란(15),9580,"(100g당 1,228원)"
x 원프리미엄육포30g x 3,12980,"(100g당 14,422원)"
CJ 건강한샌드위치햄 90g,2980,(10g당 331원)
척아이롤국거리300g,11900,"(100g당 3,967원)"
무항생제 대관령한우 국거리 300g(1++등급),17900,"(100g당 5,967원)"
동원통그릴비엔나180g x 2,6980,(10g당 194원)
하림 수비드 바질 닭가슴살 100g,4480,"(100g당 4,480원)"
한끼구이 한우채끝150g(2등급),13900,"(100g당 9,267원)"
WET한우등심바로구이/샤브샤브(2등급)300g,25900,"(100g당 8,633원)"
CJ 고메함박스테이크152g,3980,(10g당 262원)
하림 토마호크치킨다리 핫치폴레 170g,4980,(10g당 293원)
존쿡 치즈크러스트소시지 300g,7480,(10g당 249원)
한우 불고기 300g,12430,"(100g당 4,143원)"
캐나다 돈목심 구이용(600g),10980,"(100g당 1,830원)"
마니커냉동무항생제닭윙800g,10980,"(100g당 1,373원)"
CJ 동그란스팸 160g,4980,(10g당 311원)
(2번)동물복지 1등급 유정란(25),11980,(100g당 922원)
천하장사 오리지날 448g,7980,(10g당 178원)
목우촌 BIG 주부9단두툼프랑크450g x 2,9980,(10g당 111원)
한우1등급보섭살구이,12900,"(100g당 7,167원)"
롯데 의성마늘베이컨 320g,8980,(10g당 281원)
체리부로냉동닭안심1kg,5980,(100g당 598원)
려강 매콤한 순대볶음 500g,4980,(100g당 996원)
롯데 의성마늘김밥속햄200g,3780,(10g당 189원)
롯데 에센브런치비엔나180g,4980,(10g당 277원)
CJ 더건강한닭가슴살샌드위치햄 90g,4480,(10g당 498원)
CJ 백설 한입가득비엔나 180g,4980,(10g당 277원)
국내산 껍질붙은 족사태살 수육용(700g),11980,"(100g당 1,711원)"
CJ 햄스빌두툼한굿베이컨340g,9980,(10g당 294원)
호주산냉장치마살로스300g,16900,"(100g당 5,633원)"
(J)무항생제 한돈 삼겹살 구이용(600g),23980,"(100g당 3,997원)"
체)무항생제 백숙용 생닭500g,5980,"(100g당 1,196원)"
대림 쫄깃찰순대 500g,4480,(100g당 896원)
목우촌 프라임 프랑크 소시지250g x 2,9900,(10g당 132원)
체)무항생제닭안심400g,7900,"(100g당 1,975원)"
척아이롤다짐육300g,11900,"(100g당 3,967원)"
소스가 들어있는 우삼겹구이500g,14900,"(100g당 2,980원)"
한우차돌박이300g(2등급),25900,"(100g당 8,633원)"
CJ 햄스빌굿베이컨 110g x 3,7980,(10g당 242원)
목우촌 주부9슬라이스햄100g,2490,(10g당 249원)
(J)무항다리더볶음탕용닭(한강),9900,(100g당 825원)
동원 통그릴후랑크240g x 2,7980,(10g당 166원)
목우촌 주부9단비엔나250g x 2,7980,(10g당 160원)
x 상상육포오리지널70g,10980,"(100g당 15,686원)"
체)무항생제닭다리400g,8900,"(100g당 2,225원)"
CJ 고메토마토미트볼147g,3980,(10g당 271원)
x 상상육포페퍼앤솔트70g,10980,"(100g당 15,686원)"
